designation,perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,reference
73P-BO,2006,6,8.271569293555023,0.939219068906999,0.691827563127927,198.7715535759656,69.89197757406906,11.3761572743389,22.9,20.0,JPL 3
73P-BQ,2006,6,8.300427102589397,0.939155663545736,0.692453880247705,198.8198463106619,69.8657752054544,11.3882612457051,20.8,10.0,JPL 2
73P-BT,2017,3,16.82068442954619,0.9719767582079062,0.6856345051905101,199.3494423523701,69.65683849488195,11.23833447259341,13.3,15.25,JPL 9
73P-BU,2022,8,24.830614380477524,0.9597414569932171,0.667699930328248,199.8471547934123,70.7423094585737,11.0540669226366,19.1,10.0,JPL 2
73P-BV,2022,8,24.995153251078474,0.9738558940161054,0.6892422663069084,199.3867758972684,69.52342995285947,11.23924309026957,19.0,10.0,JPL 3
73P-BW,2022,8,25.435164055389734,1.000505668009456,0.7777589719994189,198.6812927374699,67.33215549548169,11.61305401373503,20.0,10.0,JPL 2
73P-BX,2022,8,25.31671981657515,0.9741630733757763,0.6873483911192525,199.3793600692895,69.49469992684112,11.25884703425679,19.4,10.0,JPL 4
73P-BY,2022,8,24.284310824989895,0.9710434009600645,0.6799348982516616,199.4623320965036,69.76795232112629,11.19801828528293,19.3,10.0,JPL 2
74P,2009,7,26.703198606957397,3.550636131398531,0.1476687180626193,86.58983601961256,77.08408155927017,6.651029232181267,6.7,14.0,JPL K264/1
76P,2013,5,8.03518435221809,1.602123469751543,0.5384170227527965,0.04843890903943888,84.11256439148536,30.47514481422379,15.4,10.25,JPL K195/8
77P,2016,5,14.56055208246095,2.332892907055825,0.3541999161969799,196.9667698723941,14.89200623836897,24.34216596371529,9.1,14.75,JPL 71
78P,2012,1,12.10493669830132,2.011536547242388,0.461637372748463,192.7558599464267,210.5626757533421,6.252696505134401,9.0,13.25,JPL K192/24
79P,2008,5,28.411432962207652,1.230504097618105,0.5940852746390944,253.2696876465822,307.8386464761982,2.893178304077592,17.4,4.5,JPL 17
79P-A,1982,3,30.443087135293958,1.194750809922003,0.6023273293368896,251.5747726566037,309.3824696459872,2.944088531604184,16.9,10.0,JPL 4
79P-B,1982,3,30.91236360355419,1.193726737476237,0.5996133080988838,251.7224341773509,309.3093453631898,2.936085459940086,17.5,10.0,JPL 3
80P,2014,11,10.262194378314364,1.611798744244297,0.5993980769227218,339.1634123560768,259.8459665252867,29.93031930287708,11.8,15.75,JPL 32
81P,2022,12,15.762468080231516,1.595612043248301,0.537452826092457,41.7263235540666,136.1115160636291,3.23710556826336,9.8,12.5,JPL K222/25
82P,2001,8,30.28808434675705,3.625705145656267,0.1232542077837754,227.4956617541502,239.5914610958287,1.126554815725817,7.6,18.5,JPL 19
84P,2013,7,23.072377677144374,1.840490783412315,0.4944679176981627,276.4047896990754,112.3893362880986,7.284293770723781,14.2,6.5,JPL 49
86P,2015,4,3.4852226409628706,2.263511247214475,0.3721913239191914,179.1867364073657,72.39419568437434,15.47206372065769,17.2,4.5,JPL K152/7
87P,2013,12,19.90148162014926,2.101174815284378,0.3893476920698341,24.75638615410691,181.8898060895848,2.6023944932398,12.7,14.0,JPL K203/18
88P,2015,4,6.220952932798878,1.358196876790368,0.5630944119416461,235.8937321200179,56.6975970720305,4.383100837822769,12.1,9.0,JPL K203/27
89P,2016,12,14.66770060057831,2.220560491302702,0.4080086717680977,250.1412418962987,41.44523182729435,12.07653406440023,11.2,15.5,JPL 24
90P,2017,6,19.275418382478065,2.974897324942635,0.5097928579287074,29.27002672646282,13.2518277429544,9.63537617397107,7.0,18.0,JPL K172/13
91P,2005,6,27.090156463066958,2.60566494659677,0.3302241440164385,354.8657523066508,247.8959797672859,14.09216573033272,7.7,21.75,JPL K204/3
92P,2015,3,1.1835357140730787,1.825455658882622,0.6593254789566613,163.7890342412169,181.4589164241891,19.44460631112987,11.1,17.0,JPL 28
93P,2017,3,1.4523393451852546,1.700150174908333,0.6126650383337702,74.89804338193238,339.6274201271978,12.20450342919124,12.5,10.0,JPL 62
94P,2016,10,27.825429806459443,2.232919975895901,0.3640907405016965,92.67932276011142,70.90253514243683,6.184093129147321,13.4,9.0,JPL 75
96P,2017,10,27.96093060596198,0.1239494080283305,0.9591604569014903,14.79291874358058,94.25475500848404,58.1379341982923,13.6,9.0,JPL K233/7
97P,2022,2,20.904510126762222,2.606589331502639,0.4569372913054443,228.2272899897204,185.1745222244001,17.8610361664066,15.2,4.5,JPL K223/9
98P,2013,8,5.476502296320243,1.672338149803353,0.560585959923109,157.9474151951102,114.7526749114245,10.5459800822991,14.6,8.75,JPL K203/2
99P,2022,4,8.652852707397882,4.72687680505338,0.2295991282974786,174.1887668786723,28.17953415051851,4.33726841267952,6.7,12.0,JPL 69
100P,2016,4,2.096489745167697,2.009714538492619,0.4137581328378765,181.8760610519012,37.76542853203424,25.58418133370882,10.0,23.25,JPL 39
