perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2009,4,16.5168,1.138081,0.997447,175.448,120.4588,108.6996,9.0,10.0,2009 G1,MPC 66466
2031,1,17.9978,2.424745,0.687868,154.4417,183.6946,16.28,12.5,10.0,2009 O3,MPC 75710
2029,12,15.1447,2.90444,0.609323,209.0409,160.2798,40.9885,10.0,10.0,2009 Q5,MPC 68902
2031,6,13.5674,1.809969,0.765617,216.362,215.8431,27.5764,14.0,10.0,2009 T2,MPC112389
2020,11,16.3249,0.80083,0.7401399999999999,118.1412,31.6513,9.5937,19.0,5.0,2009 WX51,MPC105235
2026,12,3.6454,2.383028,0.636195,172.1361,262.0281,29.9396,13.0,10.0,2009 Y2,MPC 74247
2019,7,29.3533,3.298089,0.33265100000000003,134.126,234.7826,12.0995,9.0,10.0,200P,MPEC 2021-F20
2025,3,12.5071,1.6201530000000002,0.733536,42.1723,63.7998,14.8293,14.0,10.0,2010 A3,MPC 75711
2028,10,16.449,5.263798,0.259033,3.602,141.8859,9.1281,9.5,10.0,2010 C1,MPC 75008
2027,7,11.6985,3.687533,0.4511,120.0073,319.8905,57.0863,16.0,10.0,2010 D2,MPC 75008
2010,3,30.1291,2.421852,0.719684,8.3512,177.8221,15.3907,14.0,10.0,2010 E2,MPC 75009
2025,3,11.5768,3.081983,0.19598800000000002,128.0785,64.1938,14.2751,6.0,10.0,2010 H2,MPC 72851
2021,2,7.9507,0.044464,0.985361,26.1576,77.0879,23.0681,20.0,5.0,2010 H3,MPC 70361
2027,5,22.1906,4.834326,0.26683,179.499,44.7348,2.3181,10.5,10.0,2010 H4,MPC 73463
2029,6,4.1471,6.068912,0.152916,175.0939,24.8014,14.0608,13.0,5.0,2010 H5,MPC 74637
2010,8,29.0641,2.453832,0.726589,157.6012,106.4277,13.2822,11.0,10.0,2010 J3,MPC 98558
2011,4,20.8924,1.8060490000000002,0.777265,12.4246,30.8542,38.7738,9.0,10.0,2010 JC81,MPC 84315
2024,3,21.0657,3.7564949999999997,0.32176,353.1961,58.7916,7.8916,11.5,10.0,2010 T2,MPC 74248
2022,11,21.7235,5.50933,0.055255,266.962,43.2919,2.4789,9.0,10.0,2010 TO20,MPC 98558
2026,9,4.8027,4.889411,0.24868099999999999,86.0242,280.7017,8.2159,9.5,10.0,2010 U1,MPC 82316
2019,2,25.2798,8.444177,0.9964290000000001,88.0461,43.0127,55.5348,1.0,10.0,2010 U3,MPEC 2021-R75
2028,6,6.1633,2.905188,0.5633670000000001,225.1624,232.9325,8.0402,11.0,10.0,2010 UH55,MPC 79021
2024,7,21.8067,1.785568,0.69011,40.9642,11.3298,11.4015,14.5,5.0,2010 WK,MPC 75009
2011,12,27.3672,5.420365,0.268865,160.818,12.1241,10.8851,9.0,10.0,2011 C2,MPC 84021
2029,2,13.6187,3.769314,0.450545,350.0567,190.9505,15.9786,14.0,5.0,2011 FR143,MPC 79866
2012,1,22.3342,5.024826999999999,0.317211,111.0697,153.5797,19.1477,9.0,10.0,2011 JB15,MPC 82317
2027,12,31.9243,2.847164,0.544305,330.3411,77.5895,35.7342,11.5,10.0,2011 N1,MPC 87913
2024,1,16.1369,1.24574,0.774578,263.7707,295.8073,15.2474,15.0,10.0,2011 NO1,MPC 75714
2030,12,15.8109,5.018456,0.327676,348.9692,4.2368,5.6607,9.0,10.0,2011 P1,MPC 82318
2022,8,19.4122,2.322363,0.5328069999999999,310.9927,32.0278,6.0575,13.5,10.0,2011 Q3,MPC 77806
2014,8,11.4644,6.860130000000001,0.200818,192.4207,218.8655,2.6853,8.0,10.0,2011 S1,MPC 98558
2025,2,17.68,2.078043,0.629416,32.4143,40.4041,10.4408,17.5,10.0,2011 UA134,MPC 79022
2018,10,2.3448,1.7331009999999998,0.5505329999999999,269.3155,46.8169,7.3753,15.5,10.0,2011 V1,MPC 77406
2022,2,7.6865,3.322036,0.287438,282.7431,161.7874,3.7185,11.5,10.0,2011 W1,MPC 82718
2027,10,4.9038,1.811926,0.709607,131.9109,309.3615,6.3723,15.0,10.0,2011 Y2,MPC 79342
2013,7,16.3105,3.858425,0.409143,162.5184,36.2134,7.6117,9.0,10.0,2012 B1,MPC 94669
